,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
340,Batticaloa,2,LK,1580354787,77,7.71,81.69,75.79,2.51
341,Magadan,0,RU,1580354788,72,59.57,150.8,-2.0,2.57
342,Mayo,1,US,1580354789,64,38.89,-76.51,36.0,9.89
343,Palu,72,ID,1580354790,43,-0.89,119.87,85.66,3.47
344,Lavrentiya,0,RU,1580354791,71,65.58,-171.0,-13.0,11.21
345,Mandalgovi,0,MN,1580354793,82,45.76,106.27,9.37,3.98
346,Channel-Port aux Basques,100,CA,1580354794,94,47.57,-59.14,23.85,5.57
347,Byron Bay,75,AU,1580354795,74,-28.65,153.62,90.0,8.05
348,Arraial do Cabo,71,BR,1580354796,87,-22.97,-42.03,78.76,15.99
349,Broome,1,US,1580354797,78,42.25,-75.83,19.0,6.93
350,Vilhena,100,BR,1580354525,88,-12.74,-60.15,72.25,2.62
351,Verkhnyaya Khava,90,RU,1580354799,100,51.84,39.94,37.4,13.42
352,Policoro,5,IT,1580354800,93,40.21,16.67,51.01,9.17
353,Sumter,75,US,1580354801,100,28.71,-82.08,60.01,1.23
354,Salinopolis,100,BR,1580354803,79,-0.61,-47.36,82.36,16.11
355,Lethem,68,GY,1580354804,60,3.38,-59.8,83.03,11.34
356,Ovalle,0,CL,1580354805,78,-30.6,-71.2,58.28,1.23
357,Abu Samrah,18,SY,1580354806,87,35.3,37.18,47.01,6.62
358,Urumqi,75,CN,1580354807,92,43.8,87.6,8.6,2.24
359,Alamosa,90,US,1580354794,73,37.47,-105.87,24.8,4.7
360,Wamba,51,NG,1580354809,14,8.93,8.6,67.89,3.8
361,Qasigiannguit,18,GL,1580354810,64,68.82,-51.19,-2.2,4.7
362,Van,75,TR,1580354812,86,38.49,43.38,26.6,2.24
363,Sault Ste. Marie,90,CA,1580354814,85,46.52,-84.33,21.2,3.36
364,Athabasca,100,CA,1580354815,90,54.72,-113.29,30.11,9.06
365,Indramayu,100,ID,1580354816,68,-6.33,108.32,84.94,2.1
366,Safakulevo,6,RU,1580354817,90,54.99,62.54,-3.3,8.77
367,Tabuk,4,PH,1580354818,73,17.42,121.44,73.89,8.77
